QKEY,INTERVIEW_START_W147,INTERVIEW_END_W147,DEVICE_TYPE_W147,LANG_W147,XPANEL_W147,XATPSAMPLE_W147,SATLIFE_MOD_a_W147,SATLIFE_MOD_b_W147,SATLIFE_MOD_c_W147,SATLIFE_MOD_d_W147,SATLIFE_MOD_f_W147,EVERPAR_W147,DOV_KP_ELIGIBLE_W147,HAVEKIDS1_W147,MARITALMOD_W147,COMMREL_W147,LWPREL_W147,SEEKING_W147,LIVARRANG_W147,LIVINGPAR_W147,SIBLIV_W147,FAMKIDS_W147,EMPLSIT_W147,IMPACTGOALS_a_W147,IMPACTGOALS_b_W147,IMPACTGOALS_c_W147,IMPACTGOALS_d_W147,IMPACTGOALS_e_W147,WORRY_FUTR_a_W147,WORRY_FUTR_b_W147,WORRY_FUTR_c_W147,WORRY_FUTR_d_W147,KIDSEVER_W147,RSNNOCHLD_S1_a_W147,RSNNOCHLD_S1_b_W147,RSNNOCHLD_S1_c_W147,RSNNOCHLD_S1_d_W147,RSNNOCHLD_S1_e_W147,RSNNOCHLD_S1_f_W147,RSNNOCHLD_S1_g_W147,RSNNOCHLD_S1_h_W147,RSNNOCHLD_S1_i_W147,RSNNOCHLD_S1_j_W147,RSNNOCHLD_S1_k_W147,RSNNOCHLD_S2_a_W147,RSNNOCHLD_S2_b_W147,RSNNOCHLD_S2_c_W147,RSNNOCHLD_S2_d_W147,RSNNOCHLD_S2_e_W147,RSNNOCHLD_S2_f_W147,RSNNOCHLD_S2_g_W147,RSNNOCHLD_S2_h_W147,RSNNOCHLD_S2_i_W147,RSNNOCHLD_S2_j_W147,IMPACTLIFE_a_W147,IMPACTLIFE_b_W147,IMPACTLIFE_c_W147,IMPACTLIFE_d_W147,IMPACTLIFE_e_W147,IMPACTLIFE_f_W147,WORKNOKID_a_W147,WORKNOKID_b_W147,WORKNOKID_c_W147,WORKNOKID_d_W147,WORKNOKID_e_W147,RELNOKID_a_W147,RELNOKID_b_W147,RELNOKID_c_W147,RELNOKID_d_W147,PRESNOKID_a_W147,PRESNOKID_b_W147,PRESNOKID_c_W147,PRESNOKID_d_W147,CAREPAR1_W147,CAREPAR2_a_W147,CAREPAR2_b_W147,CAREPAR2_c_W147,CAREPAR2_d_W147,CAREPAR2_e_W147,TALK_KIDS_a_W147,TALK_KIDS_b_W147,TALK_KIDS_c_W147,FRNDKIDS_W147,IMPCTDATE_W147,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_RELIG,F_RELIGCAT1,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W147_UNDER50,WEIGHT_W147_50PLUS
179,2024-04-29T20:58:59Z,2024-04-29T21:04:35Z,2,1,1,,3,3,3,3,3,2,1,,1,,,,,2,2,2,1,3,3,3,3,3,2,2,3,5,2,3,3,2,3,3,3,3,3,3,2,2,,,,,,,,,,,3,3,3,3,3,3,2,2,99,2,2,3,3,,3,5,5,5,99,,,,,,,,,,,,1,4,9,1,3,2,2,3,2,1,2,2,1,1,1,2,,2,3,1,6,3,1,2,2,,0.7563125484099109
180,2024-04-29T20:59:26Z,2024-04-30T19:47:45Z,1,1,1,,2,2,2,6,2,2,1,,1,,,,,2,2,2,5,3,3,3,3,3,5,5,5,5,3,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,99,99,99,99,99,99,,,,,,99,99,,99,5,5,5,5,,,,,,,,,,,,1,3,6,2,4,1,1,6,2,1,2,2,1,1,1,2,,2,3,1,6,2,3,1,2,,0.46918210289037093
183,2024-04-29T21:05:51Z,2024-04-29T21:33:33Z,1,1,1,,1,2,3,99,1,2,1,,5,2,,,2,2,3,4,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,7,7,7,7,7,7,99,99,99,99,99,,3,,,99,99,99,99,,,,,,,,,,,,2,3,6,3,3,1,1,5,2,1,2,2,1,1,1,4,99,9,9,1,2,99,1,99,1,,1.132403557707541
188,2024-04-29T21:17:26Z,2024-04-29T21:24:15Z,1,1,1,,3,3,5,3,4,2,1,,5,1,1,,,2,1,4,1,1,1,3,2,3,4,1,4,5,2,3,1,3,1,3,2,3,3,1,1,1,,,,,,,,,,,1,3,6,2,2,3,2,2,2,2,2,3,3,,3,5,5,5,5,,,,,,,,,,,,1,2,3,1,4,1,1,6,1,4,1,3,4,2,2,1,,1,2,1,9,3,1,2,3,,1.2458207741003269
192,2024-04-29T21:29:53Z,2024-04-29T21:38:09Z,2,1,1,,4,4,4,6,6,2,1,,5,1,2,,1,2,2,3,3,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,3,,,,,,,,,,,3,3,3,3,3,3,,,,,,3,3,,3,3,3,3,3,,,,,,,,,,,,1,3,5,3,3,1,2,3,2,1,2,2,1,1,1,2,,2,4,1,1,4,2,2,1,,0.5783359726334902
195,2024-04-29T21:43:11Z,2024-04-29T21:52:24Z,2,1,1,,2,2,2,6,6,2,1,,5,2,,,1,2,2,2,5,3,3,3,3,3,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,7,7,7,7,7,7,,,,,,,1,,3,5,4,5,5,,,,,,,,,,,,1,2,3,1,4,1,3,2,2,1,2,2,1,1,1,4,99,9,9,2,99,99,4,2,99,,0.3463790250480665
197,2024-04-29T21:55:08Z,2024-04-29T22:00:56Z,1,1,1,,3,3,3,6,3,2,1,,5,1,1,,,2,1,2,5,3,3,3,2,99,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,,,,,,,,,,,3,2,3,3,3,3,,,,,,3,3,,3,4,3,3,3,,,,,,,,,,,,1,4,9,2,4,1,1,6,2,1,3,5,1,7,4,2,,2,4,1,99,4,2,1,99,,0.3440873825484929
202,2024-04-29T22:12:56Z,2024-04-29T22:21:06Z,2,1,1,,1,2,1,1,1,2,1,,1,,,,,1,2,2,1,1,1,1,1,2,4,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,7,1,3,1,1,6,2,2,2,2,2,3,1,1,1,5,4,5,5,1,3,1,1,1,1,,,,,,1,4,9,1,3,2,1,6,1,4,1,3,3,2,2,3,99,9,9,1,7,4,2,2,2,,1.4417608189964473
204,2024-04-29T22:17:58Z,2024-04-29T22:26:30Z,2,1,1,,3,2,2,2,2,2,1,,1,,,,,2,2,3,5,3,3,3,3,3,5,5,5,5,3,3,3,2,3,3,3,2,3,2,3,3,,,,,,,,,,,2,2,1,2,2,3,,,,,,3,3,,3,5,5,4,3,,,,,,,,,,,,1,4,9,2,4,2,1,5,1,1,1,3,1,1,1,1,,1,2,1,9,3,2,2,3,,1.8168012008373735
207,2024-04-29T22:26:44Z,2024-04-29T22:31:55Z,2,1,1,,2,3,2,2,6,2,1,,5,2,,,2,1,3,3,1,3,3,3,2,3,3,4,3,3,1,3,3,1,3,3,3,3,3,3,3,1,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,,2,2,,6,3,3,4,,,,,,,,,,,,1,4,9,2,3,1,1,6,2,4,3,5,4,8,4,2,,2,4,1,9,4,1,1,3,,1.2549700782937008
209,2024-04-29T22:38:56Z,2024-04-29T22:45:26Z,1,1,1,,1,1,1,1,1,2,1,,5,2,,,3,1,2,4,1,3,3,99,3,3,4,5,5,3,3,1,99,99,2,99,99,2,1,3,99,2,,,,,,,,,,,7,1,7,99,99,99,99,99,2,2,2,,3,3,3,3,2,2,4,4,,,,,,,,,,,1,1,2,99,3,3,1,6,99,1,1,1,1,10,3,3,1,1,2,1,9,3,99,99,3,,1.2283539148019997
210,2024-04-29T22:49:52Z,2024-04-29T22:58:44Z,1,1,1,,2,3,4,3,6,2,1,,5,2,,,1,2,2,2,4,1,1,1,3,2,5,4,3,3,2,3,3,2,3,3,2,2,2,2,3,2,,,,,,,,,,,3,5,5,4,5,3,,,,,,,4,,2,4,3,4,2,,,,,,,,,,,,1,1,2,1,3,1,2,3,2,1,2,2,1,12,3,2,,2,3,1,9,3,1,2,3,,0.4414654950994608
212,2024-04-29T23:08:47Z,2024-04-29T23:31:37Z,1,1,1,,5,5,3,6,6,2,1,,5,2,,,2,1,1,3,5,3,3,3,2,3,4,4,3,5,2,3,3,3,3,3,2,1,1,3,1,3,,,,,,,,,,,2,1,6,3,2,5,,,,,,,3,3,3,5,3,4,3,1,3,1,3,1,3,,,,,,1,1,2,1,3,2,1,5,2,4,3,5,4,1,1,2,,2,3,1,9,3,2,2,3,,2.2656567962851972
214,2024-04-29T23:15:34Z,2024-04-29T23:24:38Z,1,1,1,,2,1,1,6,2,2,1,,1,,,,,2,1,3,5,3,3,3,3,3,5,5,5,5,3,3,2,1,2,3,3,3,3,2,2,2,,,,,,,,,,,2,2,3,2,2,3,,,,,,3,3,,3,5,5,5,5,,,,,,,,,,,,1,4,8,2,4,1,1,5,2,4,3,5,4,9,3,1,,1,1,3,5,2,2,2,2,,2.0514136346413996
219,2024-04-30T00:46:21Z,2024-04-30T00:51:17Z,2,1,1,,3,3,3,3,3,2,1,,1,,,,,2,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,2,3,3,,,3,3,3,3,,,,,,,,,,,,1,4,9,2,3,1,1,6,2,4,3,5,4,7,4,2,,2,3,3,5,3,2,2,2,,1.9075859871893255
220,2024-04-30T01:05:38Z,2024-04-30T01:11:01Z,2,1,1,,3,3,3,1,6,2,1,,2,2,,,1,2,3,4,1,3,3,3,3,3,5,3,5,5,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,7,7,6,7,7,6,2,2,2,2,2,,3,,,5,5,5,5,,,,,,,,,,,,1,4,9,2,3,1,3,2,2,1,2,2,1,1,1,2,,2,3,1,6,3,1,2,2,,0.3676835269755366
221,2024-04-30T01:39:00Z,2024-04-30T01:42:34Z,2,1,1,,3,3,3,3,6,2,1,,3,2,,,1,2,2,2,1,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,5,3,4,2,2,2,2,2,,3,,3,3,3,3,3,,,,,,,,,,,,1,1,1,1,3,2,3,2,2,4,2,2,3,12,3,3,2,2,4,3,3,5,1,2,2,,0.6198542759734423
222,2024-04-30T01:41:13Z,2024-04-30T01:53:23Z,2,1,1,,1,1,1,6,6,2,1,,2,2,,,1,2,2,3,5,2,3,3,2,2,5,3,4,5,2,3,2,1,3,3,3,3,3,2,3,3,,,,,,,,,,,1,2,1,2,1,4,,,,,,,4,,1,3,4,3,3,,,,,,,,,,,,2,3,6,2,4,1,1,5,1,4,1,3,4,1,1,1,,1,1,1,1,2,2,2,1,,0.7614451398316916
223,2024-04-30T01:48:26Z,2024-04-30T01:58:05Z,1,1,1,,2,3,5,99,2,2,1,,1,,,,,1,2,3,1,3,3,99,2,3,3,2,99,3,1,3,3,1,2,3,99,3,3,3,3,1,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,1,3,99,3,3,5,5,5,4,3,,,,,,,,,,,1,3,5,1,3,2,2,4,2,1,2,2,1,1,1,2,,2,4,1,9,5,1,2,2,,0.8965489715097344
225,2024-04-30T02:21:09Z,2024-04-30T02:28:01Z,1,1,1,,2,2,4,5,2,2,1,,4,2,,,2,2,2,3,2,3,1,3,3,3,3,1,4,5,1,3,3,1,3,2,1,3,3,3,2,3,,,,,,,,,,,4,4,6,1,3,3,1,1,2,2,2,,3,,3,6,3,3,3,,,,,,,,,,,,1,2,4,3,3,1,2,4,1,1,1,3,1,2,2,3,2,2,4,1,1,4,3,2,1,,0.30965233466694775
231,2024-04-30T06:30:25Z,2024-04-30T06:37:12Z,1,1,1,,2,2,2,2,2,2,1,,1,,,,,2,2,2,2,1,3,3,3,3,3,2,3,5,2,3,3,3,1,3,3,3,3,1,1,3,,,,,,,,,,,1,1,1,7,1,6,2,2,2,2,2,1,3,,3,5,5,5,5,,,,,,,,,,,,1,1,1,2,3,1,1,5,99,1,99,99,1,12,3,3,1,1,1,1,99,2,1,2,99,,0.4706179187493312
235,2024-04-30T07:58:26Z,2024-04-30T08:07:43Z,2,1,1,,1,1,1,2,1,2,1,,1,,,,,2,1,3,2,1,3,1,2,3,4,5,5,5,2,3,1,1,3,3,3,1,3,1,1,1,,,,,,,,,,,1,1,2,3,1,3,1,1,1,1,2,3,3,,3,5,3,3,3,,,,,,,,,,,,1,3,5,2,3,2,1,5,2,1,4,4,1,1,1,2,,2,3,1,8,3,1,2,2,,1.436495631452763
242,2024-04-30T08:30:33Z,2024-04-30T08:36:41Z,2,1,1,,2,2,3,2,6,2,1,,5,2,,,1,1,1,3,1,1,1,1,2,3,1,1,1,4,1,1,2,1,3,2,2,3,3,3,1,1,,,,,,,,,,,1,1,1,1,1,1,1,2,1,2,2,,3,4,3,5,3,3,1,1,1,3,1,1,1,,,,,,1,4,8,1,3,2,1,6,1,1,5,3,1,2,2,2,,2,4,1,4,4,1,2,2,,0.5793553965929426
245,2024-04-30T08:54:41Z,2024-04-30T08:59:59Z,2,1,1,,1,1,1,6,6,2,1,,5,2,,,1,2,2,2,2,2,2,1,2,2,5,5,5,5,2,3,2,1,3,3,3,3,1,3,3,3,,,,,,,,,,,1,1,6,7,1,6,1,1,1,1,1,,1,,1,1,1,1,1,,,,,,,,,,,,1,1,2,1,3,1,3,2,1,1,2,3,1,12,3,4,1,1,2,3,1,3,1,2,1,,0.4721854779994822
249,2024-04-30T09:34:34Z,2024-04-30T09:39:46Z,1,1,1,,2,2,2,6,6,2,1,,2,2,,,2,2,2,2,5,1,3,3,2,3,3,3,4,5,1,3,3,2,2,3,3,3,3,3,3,2,,,,,,,,,,,1,1,6,2,1,3,,,,,,,3,,2,5,5,5,5,,,,,,,,,,,,1,4,8,2,4,1,3,2,1,1,1,3,1,2,2,3,2,2,3,1,4,3,3,2,2,,0.30881490855269156
251,2024-04-30T10:28:27Z,2024-04-30T10:36:44Z,2,1,1,,1,1,4,6,2,2,1,,5,1,2,,1,2,2,2,4,3,1,3,3,3,5,2,4,5,2,3,3,3,3,1,1,3,3,3,1,3,,,,,,,,,,,7,3,3,3,7,3,,,,,,2,3,,3,5,5,5,5,,,,,,,,,,,,1,1,2,1,3,1,2,3,1,1,1,3,1,2,2,2,,2,3,1,1,3,2,2,1,,0.36577121292705794
261,2024-04-30T12:22:20Z,2024-04-30T12:38:34Z,1,1,1,,4,5,4,6,3,2,1,,2,1,1,,,2,2,3,4,3,3,1,3,3,3,2,2,5,1,2,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,2,2,6,7,1,6,,,,,,3,3,,3,6,5,5,5,,,,,,,,,,,,1,4,9,2,4,1,2,3,1,1,1,3,1,2,2,3,2,2,4,1,3,4,1,2,1,,0.2898804807915318
267,2024-04-30T14:17:50Z,2024-04-30T14:29:03Z,1,1,1,,2,2,3,3,2,2,1,,4,1,1,,,2,2,2,1,1,3,3,1,3,4,3,5,2,1,1,3,1,3,3,2,3,3,1,3,1,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,2,1,1,,1,3,3,3,3,,,,,,,,,,,,1,4,8,1,3,2,1,5,2,4,3,5,4,1,1,1,,1,1,1,9,2,2,1,3,,1.3812399011072987
268,2024-04-30T14:33:28Z,2024-04-30T14:40:21Z,2,1,1,,1,1,2,1,1,2,1,,2,1,1,,,1,1,2,1,3,3,3,3,3,5,5,5,5,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,7,7,7,7,7,7,2,2,1,1,2,1,1,1,1,5,5,5,5,2,,,,,,,,,,,1,4,9,2,3,2,2,3,1,1,1,3,1,1,1,1,,1,1,1,4,1,1,2,2,,0.9043623402159159
270,2024-04-30T14:43:58Z,2024-04-30T14:48:42Z,2,1,1,,1,3,5,6,6,2,1,,4,2,,,1,2,2,3,5,3,3,3,2,3,2,1,3,5,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,99,99,99,99,99,99,,,,,,,99,,99,99,99,99,99,,,,,,,,,,,,1,4,9,3,4,2,3,2,1,1,1,3,1,99,99,2,,2,3,1,4,3,2,2,2,,0.27510392812633866
271,2024-04-30T14:56:08Z,2024-04-30T15:05:39Z,2,1,1,,3,3,3,3,3,2,1,,5,1,1,,,2,2,2,1,3,3,3,3,3,3,1,3,4,1,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,1,1,2,2,2,3,3,,3,4,4,4,3,,,,,,,,,,,,1,3,7,1,4,2,1,5,1,1,1,3,1,1,1,1,,1,1,1,5,2,2,2,2,,1.8042906482177463
272,2024-04-30T14:58:54Z,2024-04-30T16:15:43Z,2,1,1,,2,2,4,2,2,2,1,,1,,,,,1,2,1,1,1,1,3,3,3,2,1,2,2,1,3,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,3,3,3,3,3,3,1,1,2,1,1,3,4,4,3,5,3,3,3,3,,,,,,,,,,,1,3,5,1,3,1,1,6,1,4,1,3,4,2,2,2,,2,3,1,8,3,1,2,2,,0.6371652652471593
274,2024-04-30T15:09:15Z,2024-04-30T15:22:20Z,1,1,1,,3,3,2,1,6,2,1,,5,2,,,1,2,2,1,1,1,3,1,2,2,4,4,4,4,3,3,3,1,3,3,3,3,3,3,3,1,,,,,,,,,,,99,2,2,2,1,3,2,2,2,2,2,,3,,3,6,5,5,5,,,,,,,,,,,,1,4,9,2,4,1,1,5,1,1,1,3,1,10,3,3,2,2,9,1,9,99,1,2,3,,0.2928484446446027
276,2024-04-30T15:54:03Z,2024-04-30T16:04:51Z,2,1,1,,2,3,2,2,3,2,1,,5,1,2,,2,1,1,2,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,,,,,,,,,,,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,5,5,5,5,1,3,3,3,3,3,,,,,,1,4,9,1,3,1,3,2,1,1,1,3,1,2,2,2,,2,4,3,9,4,2,2,2,,0.6623295609888071
279,2024-04-30T16:03:18Z,2024-04-30T16:12:07Z,1,1,1,,3,2,3,6,6,2,1,,5,2,,,2,1,1,3,3,1,1,2,3,3,4,3,5,5,3,3,2,1,3,1,1,3,1,2,3,1,,,,,,,,,,,1,1,2,1,1,6,,,,,,,3,3,3,3,3,3,2,1,3,2,1,1,1,,,,,,1,3,7,1,3,1,2,3,2,1,2,2,1,12,3,2,,2,4,3,1,4,2,2,1,,0.8151594249108698
280,2024-04-30T16:13:53Z,2024-04-30T16:21:10Z,1,1,1,,2,1,1,1,1,2,1,,1,,,,,2,2,3,5,3,3,3,3,3,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,3,,,,,,3,3,,3,5,5,5,5,,,,,,,,,,,,1,4,8,1,4,1,1,5,2,1,2,2,1,11,4,4,2,2,3,1,6,3,3,1,2,,0.43476510586002387
282,2024-04-30T17:24:30Z,2024-04-30T17:31:05Z,2,1,1,,2,1,3,1,2,2,1,,1,,,,,2,1,2,5,1,1,3,1,3,3,3,5,5,1,1,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,2,1,2,2,2,3,,,,,,1,1,,1,5,5,5,5,,,,,,,,,,,,1,1,2,2,4,2,1,6,1,1,1,3,1,2,2,2,,2,3,1,9,3,2,2,2,,0.9088393097294353
283,2024-04-30T17:27:34Z,2024-04-30T17:37:38Z,2,1,1,,1,2,3,6,2,2,1,,1,,,,,1,2,2,5,3,3,3,2,2,3,3,5,4,99,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,99,99,6,99,99,99,,,,,,1,1,1,1,5,5,5,5,3,,,,,,,,,,,2,3,7,2,4,1,3,2,2,1,2,2,1,1,1,2,,2,4,1,99,4,4,2,99,,0.36012266165784845
